Model,F1,TrainingTime_s
XGBoost,0.8529804511940743,35.34671378135681
MLP,0.8248082098597375,85.39435315132141
TabNet,0.8025856055629225,292.29526710510254
TabTransformer,0.6825228438675047,95.59089040756226
FT-Transformer,0.7929406881505597,191.7970175743103
AutoInt,0.791936935137661,226.2188482284546
GATE,0.7650324551545137,8701.76117682457
GANDALF,0.775193721307086,93.22330236434937
DANet,0.7743591552936898,447.0828785896301
