feature,mean_importance
peak_time,0.438495393484271
peak_frequency,0.164628129933941
q_value,0.12781421056952982
duration,0.09065255172991234
snr,0.06072159751694689
peak_time_ns,0.03738577539467527
amplitude,0.035202752028901316
central_freq,0.03468388180845498
start_time_ns,0.010415707533367343
