Model,F1,InferenceTime_s
XGBoost,0.8529804511940743,0.1995387077331543
MLP,0.8248082098597375,1.177565097808838
TabNet,0.8025856055629225,0.5789544582366943
TabTransformer,0.6825228438675047,0.14423608779907227
FT-Transformer,0.7929406881505597,1.8211092948913574
AutoInt,0.791936935137661,0.8145046234130859
GATE,0.7650324551545137,177.2360758781433
GANDALF,0.775193721307086,0.290858507156372
DANet,0.7743591552936898,3.40559720993042
